probe,gene,chr,s1,s2
200622_x_at,CALM2,chr19,47104548,47114039
200623_s_at,CALM2,chr19,47104568,47114039
200624_s_at,MATR3,chr5,138629379,138666533
200625_s_at,CAP1,chr1,40506427,40538320
200626_s_at,MATR3,chr5,138642851,138666098
200627_at,PTGES3,chr12,57057381,57081889
200628_s_at,WARS,chr14,100800856,100841769
200629_at,WARS,chr14,100800127,100841769
200630_x_at,SET,chr9,131451505,131458667
200631_s_at,SET,chr9,131451860,131458667
200632_s_at,NDRG1,chr8,134249418,134309468
200633_at,UBB,chr17,16284410,16286054
200634_at,PFN1,chr17,4848951,4851816
200635_s_at,PTPRF,chr1,43996546,44089337
200636_s_at,PTPRF,chr1,43996546,44089331
200637_s_at,PTPRF,chr1,43996546,44089337
200638_s_at,YWHAZ,chr8,101931921,101964250
200639_s_at,YWHAZ,chr8,101930913,101965569
200640_at,YWHAZ,chr8,101930913,101965569
200641_s_at,YWHAZ,chr8,101932754,101964271
200642_at,SOD1,chr21,33032082,33040986
200643_at,HDLBP,chr2,242168629,242212223
200644_at,MARCKSL1,chr1,32799464,32801647
200645_at,GABARAP,chr17,7143739,7145753
200646_s_at,NUCB1,chr19,49403600,49425913
200647_x_at,EIF3C,chr16,28722783,28747034
200648_s_at,GLUL,chr1,182353415,182360850
200649_at,NUCB1,chr19,49404040,49426525
200650_s_at,LDHA,chr11,18416110,18429393
200651_at,GNB2L1,chr5,180663950,180670896
200652_at,SSR2,chr1,155978844,155990727
200653_s_at,CALM1,chr14,90863487,90871323
200654_at,P4HB,chr17,79801036,79818410
200655_s_at,CALM1,chr14,90863375,90871937
200656_s_at,P4HB,chr17,79801489,79818373
200657_at,SLC25A5,chrX,118602408,118605279
200658_s_at,PHB,chr17,47481414,47490655
200659_s_at,PHB,chr17,47481419,47492242
200660_at,S100A11,chr1,152004981,152009511
200661_at,CTSA,chr20,44520205,44527456
200662_s_at,TOMM20,chr1,235272659,235292131
200663_at,CD63,chr12,56119257,56122794
200664_s_at,DNAJB1,chr19,14625581,14629280
200665_s_at,SPARC,chr5,151041997,151066469
200666_s_at,DNAJB1,chr19,14625581,14629201
200667_at,UBE2D3,chr4,103716083,103748708
200668_s_at,UBE2D3,chr20,5272208,5273593
200669_s_at,UBE2D3,chr20,5272800,5273522
200670_at,XBP1,chr22,28795305,29196524
200671_s_at,SPTBN1,chr2,54753506,54896146
200672_x_at,SPTBN1,chr2,54753506,54895862
200673_at,LAPTM4A,chr2,20232411,20251429
200674_s_at,RPL32,chr7,44507465,44507948
200675_at,CD81,chr11,2398552,2418626
200676_s_at,UBE2L3,chr22,21922018,21978323
200677_at,PTTG1IP,chr21,46269512,46293741
200678_x_at,GRN,chr17,42422647,42430470
200679_x_at,HMGB1,chr13,31034583,31040069
200680_x_at,HMGB1,chr3,22423260,22424257
200681_at,GLO1,chr6,38643719,38670917
200682_s_at,UBE2L3,chr22,21922007,21978323
200683_s_at,UBE2L3,chr22,21922007,21978323
200684_s_at,UBE2L3,chr22,21922007,21978323
200685_at,SRSF11,chr1,70671364,70718730
200686_s_at,SRSF11,chr1,70671406,70717684
200687_s_at,SF3B3,chr16,70557745,70606200
200688_at,SF3B3,chr16,70597808,70611570
200689_x_at,EEF1G,chr11,62327074,62340215
200690_at,HSPA9,chr5,137890265,137911106
200691_s_at,HSPA9,chr5,137891024,137911049
200692_s_at,HSPA9,chr5,137891663,137911035
200693_at,YWHAQ,chr2,9724396,9771087
200694_s_at,DDX24,chr14,94517268,94547558
200695_at,PPP2R1A,chr19,52693304,52729482
200696_s_at,GSN,chr9,124062124,124095120
200697_at,HK1,chr10,71078622,71161635
200698_at,KDELR2,chr7,6500653,6523831
200699_at,KDELR2,chr7,6500653,6523831
200700_s_at,KDELR2,chr7,6502269,6523700
200701_at,NPC2,chr14,74946650,74959983
200702_s_at,DDX24,chr14,94517267,94547558
200703_at,DYNLL1,chr12,120933932,120936290
200704_at,LITAF,chr16,11641855,11680229
200705_s_at,EEF1B2,chr2,207024468,207027652
200706_s_at,LITAF,chr16,11642458,11680229
200707_at,PRKCSH,chr19,11546467,11561780
200708_at,GOT2,chr16,58741036,58768140
200709_at,FKBP1A,chr6,63921392,63922915
200710_at,ACADVL,chr17,7123226,7128582
200711_s_at,SKP1,chr5,133492568,133512645
200712_s_at,MAPRE1,chr20,31407702,31438211
200713_s_at,MAPRE1,chr20,31407773,31438204
200714_x_at,OS9,chr12,58087919,58115339
200715_x_at,RPL13A,chr19,49993103,49995562
200716_x_at,RPL13A,chr10,98510027,98510680
200717_x_at,RPL7,chr5,149473854,149474674
200718_s_at,SKP1,chr5,133492083,133512689
200719_at,SKP1,chr5,133492083,133512689
200720_s_at,ACTR1A,chr10,104238985,104262471
200721_s_at,ACTR1A,chr10,104238986,104262462
200722_s_at,CAPRIN1,chr11,34073229,34122662
200723_s_at,CAPRIN1,chr11,34073927,34122011
200724_at,RPL10,chrX,153626836,153630680
200725_x_at,RPL10,chr5,168043315,168044051
200726_at,PPP1CC,chr12,111157743,111180667
200727_s_at,ACTR2,chr2,65454944,65498387
200728_at,ACTR2,chr2,65454944,65498387
200729_s_at,ACTR2,chr2,65454977,65497295
200730_s_at,PTP4A1,chr6,64282378,64293493
200731_s_at,PTP4A1,chr6,64282378,64293493
200732_s_at,PTP4A1,chr6,64282378,64293493
200733_s_at,PTP4A1,chr6,64286394,64291367
200734_s_at,ARF3,chr12,49329991,49351310
200735_x_at,NACA,chr12,57106219,57118307
200736_s_at,GPX1,chr3,49394611,49396030
200737_at,PGK1,chrX,77359758,77381761
200738_s_at,PGK1,chrX,77359758,77381761
200739_s_at,SUMO3,chr21,46225533,46238044
200740_s_at,SUMO3,chr21,46225539,46237969
200741_s_at,RPS27,chr1,153963252,153964623
200742_s_at,TPP1,chr11,6634073,6640663
200743_s_at,TPP1,chr11,6634073,6640660
200744_s_at,GNB1,chr1,1716724,1822524
200745_s_at,GNB1,chr1,1716724,1822524
200746_s_at,GNB1,chr1,1716725,1822443
200747_s_at,NUMA1,chr11,71713918,71791561
200748_s_at,FTH1,chr11,61732037,61734988
200749_at,RAN,chr12,131356567,131362222
200750_s_at,RAN,chr12,131356567,131360824
200751_s_at,HNRNPC,chr2,190787900,190789612
200752_s_at,CAPN1,chr11,64949342,64979476
200753_x_at,SRSF2,chr17,74384715,74733417
200754_x_at,SRSF2,chr17,74730204,74733397
200755_s_at,CALU,chr7,128379409,128411528
200756_x_at,CALU,chr7,128379435,128409246
200757_s_at,CALU,chr7,128379435,128411527
200758_s_at,NFE2L1,chr17,46125696,46138907
200759_x_at,NFE2L1,chr17,46125745,46138841
200760_s_at,ARL6IP5,chr3,69134093,69155217
200761_s_at,ARL6IP5,chr3,69134109,69155217
200762_at,DPYSL2,chr8,26435455,26515690
200763_s_at,RPLP1,chr15,69745158,69747884
200764_s_at,CTNNA1,chr5,138089126,138271349
200765_x_at,CTNNA1,chr5,138117610,138270520
200766_at,CTSD,chr11,1773984,1785091
200767_s_at,FAM120A,chr9,96214172,96326771
200768_s_at,MAT2A,chr2,85766303,85772401
200769_s_at,MAT2A,chr2,85766345,85770925
200770_s_at,LAMC1,chr1,182992596,183112142
200771_at,LAMC1,chr1,182992552,183114727
200772_x_at,LOC728026,chr2,232573235,232578251
200773_x_at,PTMA,chr2,232573261,232578221
200774_at,FAM120A,chr9,96214172,96328683
200775_s_at,HNRNPK,chr9,86583824,86593368
200776_s_at,BZW1,chr2,201676310,201688560
200777_s_at,BZW1,chr2,201676644,201688559
200778_s_at,SEPT2,chr2,242254784,242293442
200779_at,ATF4,chr22,39916568,39918685
200780_x_at,GNAS,chr20,57466734,57486245
200781_s_at,RPS15A,chr16,18794288,18800435
200782_at,ANXA5,chr4,122589147,122618176
200783_s_at,STMN1,chr1,26226611,26231232
200784_s_at,LRP1,chr12,57522281,57607174
200785_s_at,LRP1,chr12,57522281,57607123
200786_at,PSMB7,chr9,127115744,127177718
200787_s_at,PEA15,chr1,160175231,160184437
200788_s_at,PEA15,chr1,160175248,160185160
200789_at,ECH1,chr19,39306069,39322438
200790_at,ODC1,chr2,10580507,10588453
200791_s_at,IQGAP1,chr15,90931500,91045470
200792_at,XRCC6,chr22,42017994,42060042
200793_s_at,ACO2,chr22,41865130,41924713
200794_x_at,DAZAP2,chr12,51632622,51637563
200795_at,SPARCL1,chr4,88394489,88450382
200796_s_at,MCL1,chr1,150547032,150552247
200797_s_at,MCL1,chr1,150547032,150552247
200798_x_at,MCL1,chr1,150548543,150552055
200799_at,HSPA1A,chr6,31783336,31785723
200800_s_at,HSPA1A,chr6,31783336,31785723
200801_x_at,ACTB,chr7,5566785,5570221
200802_at,SARS,chr1,109756539,109780736
200803_s_at,TMBIM6,chr12,50135362,50156784
200804_at,TMBIM6,chr12,50146244,50158493
200805_at,LMAN2,chr5,176758750,176778648
200806_s_at,HSPD1,chr2,198351307,198364620
200807_s_at,HSPD1,chr12,56904760,56906963
200808_s_at,ZYX,chr7,143078446,143088202
200809_x_at,RPL12,chr2,204055434,204056042
200810_s_at,CIRBP,chr19,1269346,1273169
200811_at,CIRBP,chr19,1269346,1273169
200812_at,CCT7,chr2,73461450,73480132
200813_s_at,PAFAH1B1,chr17,2496932,2588911
200814_at,PSME1,chr14,24605379,24608168
200815_s_at,PAFAH1B1,chr17,2497039,2585201
200816_s_at,PAFAH1B1,chr17,2496935,2588888
200817_x_at,RPS10,chr6,34711937,34712495
200818_at,ATP5O,chr21,35275757,35288088
200819_s_at,RPS15,chr19,1438395,1440492
200820_at,PSMD8,chr19,38865450,38874114
200821_at,LAMP2,chrX,119570364,119603161
200822_x_at,TPI1,chr1,77165440,77166665
200823_x_at,RPL29,chr6,118320109,118320732
200824_at,GSTP1,chr11,67351285,67354123
200825_s_at,HYOU1,chr11,118914899,118927912
200826_at,SNRPD2,chr19,46190718,46195176
200827_at,PLOD1,chr1,11994809,12035595
200828_s_at,ZNF207,chr17,30677152,30697944
200829_x_at,ZNF207,chr17,30677164,30697468
200830_at,PSMD2,chr3,184017115,184026836
200831_s_at,SCD,chr10,102106880,102124583
200832_s_at,SCD,chr10,102106880,102124591
200833_s_at,RAP1B,chr12,69004710,69054243
200834_s_at,RPS21,chr20,60962171,60963575
200835_s_at,MAP4,chr3,47892264,48130394
200836_s_at,MAP4,chr3,47893357,48130318
200837_at,BCAP31,chrX,152965955,152989880
200838_at,CTSB,chr8,11701827,11725573
200839_s_at,CTSB,chr8,11701827,11725573
200840_at,KARS,chr16,75661629,75681577
200841_s_at,EPRS,chr1,220141941,220219872
200842_s_at,EPRS,chr1,220141941,220219872
200843_s_at,EPRS,chr1,220141942,220208328
200844_s_at,PRDX6,chr1,173446436,173457945
200845_s_at,PRDX6,chr1,173446493,173457937
200846_s_at,PPP1CA,chr11,67165657,67169288
200847_s_at,SARAF,chr8,29920612,29940481
200848_at,AHCYL1,chr1,110527395,110566351
200849_s_at,AHCYL1,chr1,110527395,110566351
200850_s_at,AHCYL1,chr1,110527717,110564996
200851_s_at,IST1,chr16,71929444,71962906
200852_x_at,GNB2,chr7,100271483,100276791
200853_at,H2AFZ,chr4,100869242,100871431
200854_at,NCOR1,chr17,15933415,16118882
200855_at,NCOR1,chr17,15933415,16118882
200856_x_at,NCOR1,chr17,15933415,16118882
200857_s_at,NCOR1,chr17,15935258,16118844
200858_s_at,RPS8,chr1,45241245,45244412
200859_x_at,FLNA,chrX,153576964,153602929
200860_s_at,CNOT1,chr16,58554602,58571029
200861_at,CNOT1,chr16,58553855,58566301
200862_at,DHCR24,chr1,55315307,55352891
200863_s_at,RAB11A,chr15,66161802,66181905
200864_s_at,RAB11A,chr15,66161857,66181791
200865_at,EIF3F,chr11,8008699,8017718
200866_s_at,PSAP,chr10,73576608,73610983
200867_at,RNF114,chr20,48552944,48570474
200868_s_at,RNF114,chr20,48552943,48568738
200869_at,RPL18A,chr12,104659067,104659669
200870_at,STRAP,chr12,16035495,16056408
200871_s_at,PSAP,chr10,73576057,73611086
200872_at,S100A10,chr1,151955393,151966296
200873_s_at,CCT8,chr1,146674707,146676541
200874_s_at,NOP56,chr20,2633246,2639039
200875_s_at,NOP56,chr20,2633486,2639039
200876_s_at,PSMB1,chr6,170844226,170862342
200877_at,CCT4,chr2,62095563,62115642
200878_at,EPAS1,chr2,46524581,46613836
200879_s_at,EPAS1,chr2,46524901,46611855
200880_at,DNAJA1,chr9,33025244,33039898
200881_s_at,DNAJA1,chr9,33025308,33039064
200882_s_at,PSMD4,chr1,151227196,151239936
200883_at,UQCRC2,chr16,21964691,21994666
200884_at,CKB,chr14,103986004,103989113
200885_at,RHOC,chr1,113243763,113247791
200886_s_at,PGAM1,chr10,99185908,99193197
200887_s_at,STAT1,chr2,191833875,191878405
200888_s_at,RPL23,chr17,37006341,37009988
200889_s_at,SSR1,chr6,7287802,7313440
200890_s_at,SSR1,chr6,7287802,7313440
200891_s_at,SSR1,chr6,7287803,7313435
200892_s_at,TRA2B,chr3,185635116,185655791
200893_at,TRA2B,chr3,185634536,185655756
200894_s_at,FKBP4,chr12,2904133,2913108
200895_s_at,FKBP4,chr12,2904206,2913101
200896_x_at,HDGF,chr1,156711901,156721536
200897_s_at,PALLD,chr4,169819220,169849566
200898_s_at,MGEA5,chr10,103544206,103578175
200899_s_at,MGEA5,chr10,103544208,103578175
200900_s_at,M6PR,chr12,9092956,9102543
200901_s_at,M6PR,chr12,9092963,9102252
200902_at,SEP15,chr1,87328405,87379789
200903_s_at,AHCY,chr20,32868075,32891123
200904_at,HLA-E,chr6,30457288,30461970
200905_x_at,HLA-E,chr6,30457302,30461055
200906_s_at,PALLD,chr4,169819117,169849570
200907_s_at,PALLD,chr4,169819117,169849570
200908_s_at,RPLP2,chr11,809944,812874
200909_s_at,RPLP2,chr11,809967,812874
200910_at,CCT3,chr1,156278759,156305679
200911_s_at,TACC1,chr8,38644780,38710545
200912_s_at,EIF4A2,chr3,186501384,186507683
200913_at,PPM1G,chr2,27604198,27632313
200914_x_at,KTN1,chr14,56046971,56151297
200915_x_at,KTN1,chr14,56047035,56151294
200916_at,TAGLN2,chr1,159887902,159895284
200917_s_at,SRPR,chr11,126132829,126138809
200918_s_at,SRPR,chr11,126132829,126138708
200919_at,PHC2,chr1,33789226,33815504
200920_s_at,BTG1,chr12,92536900,92539756
200921_s_at,BTG1,chr12,92536902,92539620
200922_at,KDELR1,chr19,48886250,48894756
200923_at,LGALS3BP,chr17,76967336,76976061
200924_s_at,SLC3A2,chr11,62648367,62656297
200925_at,COX6A1,chr12,120875934,120878532
200926_at,RPS23,chr5,81571884,81574155
200927_s_at,RAB14,chr9,123940414,123964187
200928_s_at,RAB14,chr9,123940415,123964086
200929_at,TMED10,chr14,75600957,75643293
200930_s_at,VCL,chr10,75757873,75879912
200931_s_at,VCL,chr10,75757880,75879769
200932_s_at,DCTN2,chr12,57924093,57940978
200933_x_at,RPS4X,chrX,71492459,71497080
200934_at,DEK,chr6,18224411,18264639
200935_at,CALR,chr19,13049422,13055303
200936_at,RPL8,chr8,146015153,146017528
200937_s_at,RPL5,chr1,93297640,93307480
200938_s_at,RERE,chr1,8412456,8877667
200939_s_at,RERE,chr1,8415061,8424193
200940_s_at,RERE,chr1,8412456,8877524
200941_at,HSBP1,chr16,83841507,83846602
200942_s_at,HSBP1,chr16,83841627,83845272
200943_at,HMGN1,chr21,40714252,40720987
200944_s_at,HMGN1,chr21,40714252,40720987
200945_s_at,SEC31A,chr4,83739814,83812289
200946_x_at,GLUD1,chr10,88810238,88854746
200947_s_at,GLUD1,chr10,88810246,88854623
200948_at,MLF2,chr12,6857162,6862269
200949_x_at,RPS20,chr8,56985617,56987055
200950_at,ARPC1A,chr7,98930944,98963561
200951_s_at,CCND2,chr12,4382937,4414519
200952_s_at,CCND2,chr12,4382937,4414519
200953_s_at,CCND2,chr12,4382937,4414516
200954_at,ATP6V0C,chr16,2563870,2570212
200955_at,IMMT,chr2,86371062,86422597
200956_s_at,SSRP1,chr11,57093458,57103351
200957_s_at,SSRP1,chr11,57093458,57103351
200958_s_at,SDCBP,chr8,59465733,59495417
200959_at,FUS,chr16,31191458,31202923
200960_x_at,CLTA,chr9,36190988,36212055
200961_at,SEPHS2,chr16,30454952,30457186
200962_at,RPL31,chr2,101618735,101636218
200963_x_at,RPL31,chr2,101619163,101622880
200964_at,UBA1,chrX,47053391,47074526
200965_s_at,ABLIM1,chr10,116190871,116286585
200966_x_at,ALDOA,chr16,30075505,30081734
200967_at,PPIB,chr15,64448013,64455203
200968_s_at,PPIB,chr15,64448013,64455203
200969_at,SERP1,chr3,150259786,150264301
200970_s_at,SERP1,chr3,150260297,150264237
200971_s_at,SERP1,chr3,150262005,150264135
200972_at,TSPAN3,chr15,77338371,77363475
200973_s_at,TSPAN3,chr15,77339007,77363296
200974_at,ACTA2,chr10,90694830,90708711
200975_at,PPT1,chr1,40538399,40562917
200976_s_at,TAX1BP1,chr7,27779812,27868483
200977_s_at,TAX1BP1,chr7,27779795,27868879
200978_at,MDH1,chr2,63816122,63834328
200979_at,PDHA1,chrX,19362026,19379823
200980_s_at,PDHA1,chrX,19362050,19377965
200981_x_at,GNAS,chr20,57414794,57486245
200982_s_at,ANXA6,chr5,150480669,150537392
200983_x_at,CD59,chr11,33730138,33758025
200984_s_at,CD59,chr11,33730138,33758025
200985_s_at,CD59,chr11,33730415,33744013
200986_at,SERPING1,chr11,57365157,57382319
200987_x_at,PSME3,chr17,40985415,40995777
200988_s_at,PSME3,chr17,40985487,40995523
200989_at,HIF1A,chr14,62162272,62214970
200990_at,TRIM28,chr19,59055868,59062083
200991_s_at,SNX17,chr2,27593388,27599994
200992_at,IPO7,chr11,9406192,9469674
200993_at,IPO7,chr11,9406192,9469674
200994_at,IPO7,chr11,9406192,9469674
200995_at,IPO7,chr11,9406192,9469674
200996_at,ACTR3,chr2,114647529,114715722
200997_at,RBM14-RBM4,chr11,66407169,66413938
200998_s_at,CKAP4,chr12,106631654,106641713
200999_s_at,CKAP4,chr12,106631791,106641713
201000_at,AARS,chr16,70286296,70323412
201001_s_at,TMEM189-UBE2V1,chr20,48697660,48746181
201002_s_at,TMEM189-UBE2V1,chr20,48697904,48746181
201003_x_at,TMEM189,chr20,48697660,48746181
201004_at,SSR4,chrX,153060093,153063953
201005_at,CD9,chr12,6309614,6347425
201006_at,PRDX2,chr19,12907643,12912633
201007_at,HADHB,chr2,26467820,26513332
201008_s_at,TXNIP,chr1,145438489,145442626
201009_s_at,TXNIP,chr1,145438489,145442626
201010_s_at,TXNIP,chr1,145438581,145442523
201011_at,RPN1,chr3,128338818,128370048
201012_at,ANXA1,chr9,75766780,75785307
201013_s_at,PAICS,chr4,57302322,57327527
201014_s_at,PAICS,chr4,57302454,57325828
201015_s_at,JUP,chr17,39910863,39928117
201016_at,EIF1AX,chrX,20142635,20159959
201017_at,EIF1AX,chrX,20142635,20159959
201018_at,EIF1AX,chrX,20142635,20159959
201019_s_at,EIF1AX,chr1,17011544,17012744
201020_at,YWHAH,chr22,32340511,32353236
201021_s_at,DSTN,chr20,17550515,17588995
201022_s_at,DSTN,chr20,17550784,17588644
201023_at,TAF7,chr5,140698056,140700287
201024_x_at,EIF5B,chr2,99953789,100016579
201025_at,EIF5B,chr2,99953789,100016579
201026_at,EIF5B,chr2,99953789,100016579
201027_s_at,EIF5B,chr2,99953899,100015997
201028_s_at,CD99,chrX,2609401,2658845
201029_s_at,CD99,chrY,2559279,2609274
201030_x_at,LDHB,chr12,21788275,21810762
201031_s_at,HNRNPH1,chr5,179041179,179050670
201032_at,BLCAP,chr20,36145819,36147755
201033_x_at,RPLP0,chr2,38708916,38710012
201034_at,ADD3,chr4,108910911,108956327
201035_s_at,HADH,chr4,108911061,108955646
201036_s_at,HADH,chr4,108911001,108956323
201037_at,PFKP,chr10,3109754,3178974
201038_s_at,ANP32A,chr15,69070873,69113243
201039_s_at,RAD23A,chr19,13056668,13064456
201040_at,GNAI2,chr3,50273654,50296287
201041_s_at,DUSP1,chr5,172195101,172198203
201042_at,TGM2,chr20,36756862,36790002
201043_s_at,ANP32A,chr15,69072392,69113231
201044_x_at,DUSP1,chr5,172195098,172198237
201045_s_at,RAB6A,chr11,73386685,73472179
201046_s_at,RAD23A,chr19,13056727,13064455
201047_x_at,RAB6A,chr11,73386938,73472097
201048_x_at,RAB6A,chr11,73388899,73471749
201049_s_at,RPS18,chr6,33239851,33244281
201050_at,PLD3,chr19,40865548,40884389
201051_at,ANP32A,chr15,69070873,69113243
201052_s_at,PSMF1,chr20,1099269,1148171
201053_s_at,PSMF1,chr20,1099303,1147955
201054_at,HNRNPA0,chr5,137086801,137090039
201055_s_at,HNRNPA0,chr5,137088305,137090019
